epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,76.2157,1.09199,2.0005,1.47742,0.56089,0.52813,0.53872,0.31872,1.30226,1.86987,1.77977,0.000474349,0.000474349,0.000474349
2,148.179,1.19337,1.71447,1.54665,0.42208,0.37649,0.3796,0.20322,1.84298,2.25764,2.31677,0.000944407,0.000944407,0.000944407
3,218.706,1.24675,1.68505,1.58953,0.51095,0.39859,0.41693,0.16785,1.98603,2.21656,2.41416,0.00140818,0.00140818,0.00140818
4,290.948,1.21063,1.59741,1.57651,0.66128,0.50854,0.57867,0.34327,1.35906,1.60758,1.8272,0.00140071,0.00140071,0.00140071
5,364.095,1.18338,1.53961,1.5548,0.54626,0.49482,0.53213,0.31038,1.51239,1.79842,2.06644,0.00139127,0.00139127,0.00139127
6,434.513,1.11946,1.44499,1.50736,0.72338,0.57588,0.65865,0.41278,1.25373,1.45908,1.69202,0.00138184,0.00138184,0.00138184
7,504.629,1.10364,1.38707,1.48398,0.69299,0.56117,0.65044,0.42179,1.25886,1.46458,1.79084,0.00137241,0.00137241,0.00137241
8,575.632,1.10281,1.37042,1.48522,0.70494,0.66004,0.72529,0.46335,1.18533,1.22496,1.66909,0.00136298,0.00136298,0.00136298
9,645.432,1.06761,1.31485,1.46496,0.70488,0.63014,0.7175,0.47179,1.1546,1.28534,1.61173,0.00135355,0.00135355,0.00135355
10,715.112,1.05446,1.28919,1.44849,0.79641,0.63166,0.7448,0.47885,1.15072,1.22503,1.61998,0.00134412,0.00134412,0.00134412
11,785.513,1.02946,1.26502,1.43745,0.73633,0.6407,0.7269,0.47741,1.15263,1.27235,1.62881,0.00133469,0.00133469,0.00133469
12,855.603,1.01909,1.20026,1.42298,0.74193,0.67616,0.75742,0.49309,1.15441,1.18256,1.59459,0.00132525,0.00132525,0.00132525
13,925.867,1.00166,1.18781,1.40628,0.79475,0.67934,0.7859,0.52081,1.09005,1.09453,1.54919,0.00131582,0.00131582,0.00131582
14,996.265,0.99782,1.18293,1.40654,0.79358,0.70049,0.78853,0.52415,1.1076,1.07228,1.5579,0.00130639,0.00130639,0.00130639
15,1066.01,0.97901,1.1426,1.39425,0.80604,0.70078,0.80122,0.53405,1.07671,1.05768,1.53353,0.00129696,0.00129696,0.00129696
16,1135.83,0.97434,1.13244,1.38703,0.80893,0.71154,0.8253,0.56115,1.01379,1.00212,1.45188,0.00128753,0.00128753,0.00128753
17,1206.47,0.97098,1.10324,1.37985,0.76987,0.71254,0.80025,0.53635,1.08255,1.05355,1.55294,0.0012781,0.0012781,0.0012781
18,1277.79,0.94988,1.08512,1.36798,0.81352,0.70747,0.81259,0.54643,1.05934,1.04519,1.4886,0.00126867,0.00126867,0.00126867
19,1347.91,0.95445,1.07143,1.36076,0.79855,0.73763,0.82083,0.55473,1.0241,1.0102,1.47164,0.00125923,0.00125923,0.00125923
20,1419.13,0.94986,1.07741,1.36519,0.80585,0.74552,0.83213,0.56276,1.0454,0.97887,1.48742,0.0012498,0.0012498,0.0012498
21,1489.83,0.94653,1.07526,1.36009,0.80645,0.74831,0.82194,0.5608,1.03514,0.98428,1.46784,0.00124037,0.00124037,0.00124037
22,1561.78,0.92821,1.02886,1.34665,0.8274,0.77122,0.85041,0.57614,1.03327,0.95981,1.47673,0.00123094,0.00123094,0.00123094
23,1632.55,0.92445,1.02693,1.34432,0.7964,0.77398,0.83996,0.57673,0.9975,0.93517,1.44992,0.00122151,0.00122151,0.00122151
24,1704.28,0.93997,1.0336,1.35238,0.8418,0.76511,0.85008,0.59796,0.95928,0.90595,1.40817,0.00121208,0.00121208,0.00121208
25,1776.11,0.91472,1.00036,1.33885,0.84993,0.7487,0.85457,0.59213,0.99234,0.89823,1.42513,0.00120265,0.00120265,0.00120265
26,1848.47,0.91129,0.99186,1.33258,0.83987,0.7497,0.85355,0.58755,1.01934,0.92425,1.46692,0.00119322,0.00119322,0.00119322
27,1919.66,0.91945,0.99366,1.33163,0.83884,0.76922,0.86317,0.60071,0.97554,0.88751,1.41797,0.00118378,0.00118378,0.00118378
28,1990.47,0.9118,0.9761,1.32333,0.87349,0.75256,0.86685,0.59821,0.9701,0.87208,1.41338,0.00117435,0.00117435,0.00117435
29,2062.44,0.88671,0.95922,1.31492,0.84504,0.7848,0.86996,0.6154,0.94402,0.84475,1.39202,0.00116492,0.00116492,0.00116492
30,2133.27,0.89959,0.97388,1.32541,0.85288,0.77888,0.8658,0.60968,0.97167,0.84994,1.40639,0.00115549,0.00115549,0.00115549
31,2203.14,0.90108,0.96538,1.32127,0.81438,0.78971,0.86731,0.61321,0.95083,0.85937,1.40763,0.00114606,0.00114606,0.00114606
32,2274,0.88577,0.94619,1.30934,0.86545,0.76816,0.86572,0.61842,0.93271,0.85658,1.37607,0.00113663,0.00113663,0.00113663
33,2344.4,0.89154,0.95245,1.31135,0.84509,0.79716,0.88425,0.62447,0.95146,0.82306,1.39203,0.0011272,0.0011272,0.0011272
34,2414.54,0.8741,0.92555,1.30178,0.83994,0.77138,0.8643,0.61006,0.94282,0.85956,1.38949,0.00111776,0.00111776,0.00111776
35,2485.51,0.8691,0.91993,1.29765,0.83898,0.78198,0.88186,0.62735,0.92892,0.84007,1.3671,0.00110833,0.00110833,0.00110833
36,2555.91,0.86761,0.91795,1.29717,0.87437,0.78053,0.87654,0.62649,0.92824,0.82539,1.37091,0.0010989,0.0010989,0.0010989
